id,nombre,edad,departamento,salario
146,Virginia Foster,28,TI,2257.4
147,Daniel Black,21,Ventas,3688.43
148,David Peterson,29,TI,1796.34
149,Amy Jordan,52,TI,3840.26
150,Kirsten Mckenzie,60,Finanzas,2452.82
151,Hayden Bradley,23,TI,4341.97
152,Joan Boyle,38,TI,2195.96
153,Melissa Miller,40,TI,2666.69
154,Heather Munoz,47,Finanzas,2311.41
155,James Weber,53,Ventas,3492.55
156,Elizabeth Bridges,21,Ventas,4468.85
157,Sarah Baker,40,RRHH,1899.13
158,Lucas Bates,37,Finanzas,4033.54
159,Joseph Johnson,34,RRHH,3779.06
160,David Sellers,35,Ventas,2741.24
161,David Gonzalez,40,RRHH,3164.0
162,Daniel Jones,26,RRHH,1885.63
163,Gabriela Green,50,Finanzas,2211.11
164,Austin Jackson,23,RRHH,4105.63
165,Jennifer Lopez,20,Finanzas,2085.83
166,Zachary Combs,23,Finanzas,4406.06
167,Tracy Hodge,50,Finanzas,4125.07
168,Dawn Schultz,23,Ventas,1758.61
169,Mark Long,24,Ventas,3594.73
170,Julie Jenkins,37,Finanzas,4592.81
171,Holly Rose,48,Ventas,4031.67
172,Cathy Lee,53,Finanzas,4227.02
173,Dale Wall,60,RRHH,1910.39
174,Jean Mooney,20,TI,4842.92
175,Mariah Bonilla,22,RRHH,2475.99
176,Chelsea Weeks,50,Ventas,2643.27
177,Stephanie Macias,34,RRHH,3445.0
178,Frank Mccoy,53,TI,1995.87
179,Tracy Gibson,30,TI,4467.83
180,Michael Reyes,41,RRHH,1692.59
181,Thomas Fitzgerald,20,Finanzas,2242.9
182,Dustin Barrett,30,Finanzas,2008.29
183,Alex Villanueva,21,Ventas,3036.18
184,Sandra West,52,Finanzas,4198.68
185,Vincent Delacruz,34,TI,3612.63
186,Franklin Diaz,53,TI,3505.79
187,Brian Hayes,22,Finanzas,1561.95
188,Anthony Bryant,31,Ventas,1648.78
189,Christina Stevens,20,TI,2450.81
190,Kim Watkins,43,RRHH,2166.4
191,Jamie Perez,56,TI,1758.57
192,Christopher Harper,24,Finanzas,2899.68
193,Elizabeth Fisher,21,Ventas,4163.38
194,Kevin Hampton,34,TI,3367.94
195,Carlos Pruitt,51,RRHH,2030.02
196,Heather Munoz,31,Ventas,1887.38
197,John Werner,60,Finanzas,4766.23
198,Christopher Bender,50,RRHH,3597.44
199,Sydney Perez,27,RRHH,1530.25
200,Nicholas Davis,20,TI,4304.43
